FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES
2310;3;53;SAU;3;BOG;5;9;249;1;198;1;8;2;5;33;KG;28;33,21;28;128,1;541941,14
2310;3;53;SAU;3;BOG;5;9;249;1;198;1;8;2;5;33;KG;16;18,97;16;67,2;284296,99
2310;3;53;SAU;3;BOG;5;9;249;1;198;1;8;2;5;33;KG;14;16,6;14;50,4;213222,74
2310;3;53;SAU;3;BOG;5;9;249;1;198;1;8;2;5;33;KG;45;53,37;45;138,75;586997,13
2310;3;53;SAU;3;BOG;5;9;249;1;198;1;8;2;5;33;KG;25;29,65;25;148,5;628245,58
2310;3;53;SAU;3;BOG;5;9;249;1;198;1;8;2;5;33;KG;15,3;18,14;15,3;78,5;332102,88
2310;3;53;SAU;3;BOG;5;9;249;1;198;1;8;2;5;33;KG;20;23,72;20;90;380754,9
2310;3;53;SAU;3;BOG;8;9;169;1;198;1;8;2;8;11;U;17;9,8;9,15;9267;37566193,92
2310;3;53;SAU;3;BOG;8;9;169;1;198;1;8;2;8;11;U;6;3,46;3,23;1711;6935983,36
2310;3;53;SAU;3;BOG;8;9;169;1;198;1;8;2;8;11;U;3;1,73;1,62;891;3611900,16
2310;3;53;SAU;3;BOG;11;1;211;1;198;1;8;2;11;11;U;16;77;75;20146,09;84895018,87
2310;3;53;SAU;3;BOG;11;3;23;1;198;1;8;2;11;11;U;6;110;99;51444,56;216785832,5
2310;3;53;SAU;3;BOG;11;8;618;1;198;1;6;2;11;11;U;12900;650,87;633;4093;16950872,99
2310;3;53;SAU;3;BOG;11;8;618;1;198;1;6;2;11;11;U;800;17,48;17;152;629497,36
2310;3;53;SAU;3;BOG;11;8;618;1;198;1;6;2;11;11;U;210;17,48;17;2,1;8697
